eccentricity,true_PdE,true_WdE,fit_decay_PdE,fit_prec_wdE,fit_dp_PdE,fit_dp_wdE,logZ_decay,logZ_prec,logZ_dp
0.0,-0.0,0.0,3.5543181464680195e-13,4.243315334672238e-09,2.958356725047087e-13,7.987731951043751e-09,-1693.3309396197128,-1684.512902866128,-1686.5752530350244
0.0,-0.0,9.999999999999999e-09,1.3966095986635579e-12,-1.3379559827856187e-08,1.4285662581245289e-12,1.7119152259124933e-08,-1693.3309396197128,-1684.512902866128,-1686.5752530350244
0.0,-0.0,1.0000000000000002e-07,8.981871318143698e-13,-2.551511900527247e-08,7.920051347585708e-13,1.0326155137512146e-07,-1829.7093821136705,-1821.1242928644986,-1824.915935405829
0.0,-0.0,1e-06,1.2993263002644136e-12,-1.7953724240183117e-06,1.1365958507230914e-12,-2.4401060307360934e-06,-1702.2524349169303,-1694.6459310745156,-1695.534486855004
0.0,-0.0,1e-05,3.525609218073171e-13,-7.72183813458064e-05,-9.856559462960623e-13,-5.838503192257153e-05,-1749.4232497895339,-1737.8517938268128,-1740.9945167306353
0.0,-0.0,9.999999999999999e-05,1.7016577193576437e-12,-7.717948090792126e-05,6.327982623680434e-13,-4.1140822436601734e-05,-1774.251588412165,-1770.514151530298,-1773.5641662100559
0.0,-1e-12,0.0,-4.399551250659415e-13,5.571122172009214e-09,-4.787163976177491e-13,-4.364994000892876e-09,-1791.2150620506832,-1781.5350332695702,-1786.8550157325612
0.0,-1e-12,9.999999999999999e-09,-2.6813849099767987e-12,-9.405771800188513e-09,-2.7716525276613862e-12,-1.5881564558355764e-08,-1791.2150620506832,-1781.5350332695702,-1786.8550157325612
0.0,-1e-12,1.0000000000000002e-07,-1.8300584049046542e-12,1.6195888603132628e-08,-1.9383957375788377e-12,-1.0178348552806844e-07,-1735.431322156516,-1730.0059945028102,-1730.3580963057232
0.0,-1e-12,1e-06,-3.857252783632723e-12,-7.964553969998456e-07,-3.914673485296725e-12,1.470119827759579e-06,-1814.1064206142548,-1815.8009925814104,-1807.8841322183066
0.0,-1e-12,1e-05,-3.641333274672935e-12,-6.170342651469263e-05,-4.290873804079706e-12,-3.4273876112521454e-05,-1882.744839618923,-1881.8921741636257,-1876.5685698203474
0.0,-1e-12,9.999999999999999e-05,-3.6149163297819905e-12,-4.5285498324987555e-05,-4.6017306234962975e-12,2.654597125040627e-05,-1664.4093305094418,-1667.4261768642477,-1661.35896084501
0.0,-1e-11,0.0,-2.0373903542458468e-11,2.003925790888482e-09,-2.0365960037693997e-11,1.288249964771096e-08,-1801.4549776747028,-2099.7870529561965,-1797.782492889235
0.0,-1e-11,9.999999999999999e-09,-1.9947972371619432e-11,-1.9512466573367196e-08,-1.9953894894057808e-11,2.0511770309169744e-08,-1801.4549776747028,-2099.7870529561965,-1797.782492889235
0.0,-1e-11,1.0000000000000002e-07,-2.0068468516532968e-11,-1.6739683245140866e-07,-1.9788335823383975e-11,6.032967375605869e-08,-1717.761776785161,-2011.9922957060612,-1710.77518543915
0.0,-1e-11,1e-06,-2.0936275987264653e-11,7.470193649672051e-07,-2.0813021409125608e-11,4.623424186087698e-06,-1713.5198336759456,-2034.9532380287658,-1712.396654511745
0.0,-1e-11,1e-05,-1.997724554937593e-11,-0.0001228799322753319,-2.111576534707845e-11,-6.53247557157477e-05,-1751.2816845883551,-2047.6391631879276,-1745.7517556973678
0.0,-1e-11,9.999999999999999e-05,-2.17933441923364e-11,-0.00016531905070864348,-2.223679133004241e-11,-0.00011344114118935663,-1739.5613804662141,-2090.6645058037807,-1729.1281473222512
0.0,-1e-10,0.0,-1.9934100553777916e-10,-7.880749170416133e-09,-1.9924743003625743e-10,2.0922166672435303e-08,-1733.5502196897478,-32367.25510093517,-1728.7082468058638
0.0,-1e-10,9.999999999999999e-09,-1.9925631791478452e-10,5.6700199528622495e-09,-1.9933556876789356e-10,-6.500155581767022e-09,-1733.5502196897478,-32367.25510093517,-1728.7082468058638
0.0,-1e-10,1.0000000000000002e-07,-2.02602012179734e-10,-1.8633272610090202e-06,-2.022321767622569e-10,5.1879535896092964e-06,-1790.3390871113877,-32556.417410417595,-1785.240167213967
0.0,-1e-10,1e-06,-2.010830396789437e-10,-1.0754832392234058e-06,-2.0068171617560115e-10,-2.1323767478904846e-07,-1678.6074596437331,-32149.540758439667,-1671.7051477056546
0.0,-1e-10,1e-05,-1.9939499412374286e-10,-9.738768195751133e-05,-2.0011056537844876e-10,-4.288423859772933e-06,-1763.9265518402476,-31675.543844675503,-1759.2340069500412
0.0,-1e-10,9.999999999999999e-05,-2.0056291573254436e-10,-0.00012601469633630408,-2.0098947355887682e-10,2.1785283278225607e-05,-1758.273290820098,-33011.38768878832,-1754.6455835035272
0.0,-1e-09,0.0,-2.073264986633241e-09,nan,nan,nan,-2827.571951867949,nan,nan
0.0,-1e-09,9.999999999999999e-09,-2.0747274327761975e-09,nan,nan,nan,-2827.571951867949,nan,nan
0.0,-1e-08,0.0,nan,nan,nan,nan,nan,nan,nan
0.0,-1e-08,9.999999999999999e-09,nan,nan,nan,nan,nan,nan,nan
1e-05,-0.0,0.0,1.4446302670371606e-12,4.0490374382056534e-09,1.5477142368738918e-12,-3.1262013810384717e-10,-1835.818158559776,-1828.4512552659355,-1829.5499126157085
1e-05,-0.0,1.0000000000000002e-08,1.2744207145655344e-12,-2.1352795058657564e-09,1.4020531427464345e-12,-9.719677413347965e-09,-1835.818158559776,-1828.4512552659355,-1829.5499126157085
1e-05,-0.0,1.0000000000000002e-07,1.27073211501902e-13,-2.1481177765317092e-07,4.76576373538501e-13,-8.391442536444913e-08,-1698.7127695298504,-1689.650939007684,-1694.9915948882367
1e-05,-0.0,1.0000000000000002e-06,7.053285055106301e-13,7.839892156289829e-07,3.4130772232454266e-13,6.196391016035044e-07,-1787.371802899256,-1778.6823119188412,-1785.014747657859
1e-05,-0.0,1e-05,1.083344609669673e-12,-0.00012537498650216428,-1.2423272526007896e-13,-3.673267189652533e-05,-1784.194353878945,-1774.9596241936974,-1779.5981183641557
1e-05,-0.0,0.00010000000000000003,-1.6573505534878017e-12,1.8360000499517345e-05,-2.8678212791883084e-12,5.930149193674166e-05,-1748.1445713252353,-1746.3728538942912,-1747.7739138477548
1e-05,-1e-12,0.0,-2.0310782764369433e-12,-9.822144273973071e-09,-1.9065523705778157e-12,-1.2376183591163941e-08,-1753.989140116992,-1748.7302334981375,-1748.3077110135837
1e-05,-1e-12,1.0000000000000002e-08,-2.6309694393051336e-12,3.1986648517794815e-09,-2.6129319865762713e-12,1.4069909841749494e-08,-1753.989140116992,-1748.7302334981375,-1748.3077110135837
1e-05,-1e-12,1.0000000000000002e-07,-1.0218429209591937e-12,1.372428194275756e-07,-1.278106662455555e-12,2.2548400105459624e-07,-1806.5370869440208,-1798.6046308499137,-1800.6815797525608
1e-05,-1e-12,1.0000000000000002e-06,-2.849373299986318e-12,1.3870720368681025e-06,-2.421161566641901e-12,-2.48964077961394e-06,-1777.7046404678179,-1773.8461411974083,-1772.0432621860946
1e-05,-1e-12,1e-05,-2.2103154473587065e-12,-4.2604076705501584e-05,-3.04641317176268e-12,1.1608890875262044e-05,-1784.8083798652988,-1780.1000178697016,-1779.44727408104
1e-05,-1e-12,0.00010000000000000003,-1.465447915656844e-12,-0.00016066117056142375,-6.636950546373215e-12,-0.00012195160695523317,-1733.0935345637902,-1718.2693280968244,-1722.5722673879811
1e-05,-1e-11,0.0,-1.9635064027967225e-11,9.198034973259748e-09,-1.952724626766366e-11,2.9162074455122327e-10,-1856.1687259987693,-2144.634444260273,-1849.8592235516146
1e-05,-1e-11,1.0000000000000002e-08,-2.258107827420469e-11,6.196522604372023e-09,-2.2460737771500085e-11,-2.3433740914013394e-08,-1856.1687259987693,-2144.634444260273,-1849.8592235516146
1e-05,-1e-11,1.0000000000000002e-07,-2.263048332907732e-11,-1.1030553291414832e-07,-2.2613144354051803e-11,2.1238898352255053e-07,-1787.0259749970223,-2172.9807307938,-1781.6561212406348
1e-05,-1e-11,1.0000000000000002e-06,-1.922444618899656e-11,-5.502796364405019e-07,-1.926999838234582e-11,2.3338155726802807e-06,-1801.9031376920555,-2080.5688133524036,-1797.921554717597
1e-05,-1e-11,1e-05,-2.0915491303584053e-11,1.3169446381469408e-05,-2.4383692901070443e-11,8.120615174332843e-05,-1795.3886298796913,-2121.635381552268,-1791.6711742277794
1e-05,-1e-11,0.00010000000000000003,-2.0284478629556482e-11,-5.675242069146563e-05,-2.0428712843637197e-11,-1.9138528375003613e-05,-1769.5914426308914,-2080.535000714799,-1765.4733173792613
1e-05,-1e-10,0.0,-2.0090085112114846e-10,-6.393558076686679e-09,-2.0146041076706259e-10,-3.6132120758507834e-09,-1782.7620244584043,-32835.557630752206,-1775.138537220234
1e-05,-1e-10,1.0000000000000002e-08,-1.9895961198669181e-10,1.2721339755149643e-08,-1.987392468145484e-10,7.23720039075824e-09,-1782.7620244584043,-32835.557630752206,-1775.138537220234
1e-05,-1e-10,1.0000000000000002e-07,-1.9960633906454116e-10,1.4867192944548563e-07,-1.9939624514117706e-10,-7.127829425686475e-08,-1686.174412984175,-31936.87920212148,-1682.5136890039455
1e-05,-1e-10,1.0000000000000002e-06,-2.0032120695344562e-10,3.9334524821287845e-06,-2.0040849084910568e-10,2.6899752981070993e-06,-1729.6695294996807,-32518.146010896053,-1725.0916223379088
1e-05,-1e-10,1e-05,-1.9817021775644185e-10,-0.00017485522382500607,nan,nan,-1789.6656349520958,-31817.669761522717,nan
1e-05,-1e-10,0.00010000000000000003,-1.983755004349962e-10,0.00032035395789129645,-1.9958794770252766e-10,-1.1870744336089922e-05,-1739.5590082489377,-32666.116430400783,-1740.3204811608202
1e-05,-1e-09,0.0,-2.075549298190832e-09,nan,nan,nan,-2781.56243948971,nan,nan
1e-05,-1e-09,1.0000000000000002e-08,-2.0735141777157774e-09,nan,nan,nan,-2781.56243948971,nan,nan
1e-05,-1e-08,0.0,nan,nan,nan,nan,nan,nan,nan
1e-05,-1e-08,1.0000000000000002e-08,nan,nan,nan,nan,nan,nan,nan
0.0001,-0.0,0.0,-7.489295774976629e-14,1.1637872223439966e-08,-2.4761856551994644e-13,1.6212745854267352e-08,-1758.363340590032,-1749.473384730669,-1751.9071592713021
0.0001,-0.0,1.0000000000000002e-08,-9.84385263313636e-13,-1.9394697015604605e-10,-9.06477597319685e-13,-1.2133594639275218e-08,-1758.363340590032,-1749.473384730669,-1751.9071592713021
0.0001,-0.0,1.0000000000000002e-07,-1.718121507819325e-12,2.8224821651298286e-08,-1.582367960138198e-12,-7.095356199328656e-09,-1833.8624651103744,-1827.3589046109162,-1828.2572173764977
0.0001,-0.0,9.999999999999997e-07,4.1721823742649796e-13,-1.8578726057981262e-07,1.3002088108276673e-13,5.991461089786116e-06,-1833.9678885016187,-1825.3437131846188,-1836.4464730331
0.0001,-0.0,9.999999999999997e-06,1.7706326048891487e-12,-0.00012020950915765823,9.667500527390153e-13,2.166566876026421e-05,-1824.1014795249673,-1816.6813327930524,-1820.2813040576511
0.0001,-0.0,9.999999999999999e-05,6.533014194384262e-14,-0.0002500242981508657,3.879739239115712e-12,-0.00035799494238260895,-1829.4206564421474,-1754.3637865771134,-1793.3226996874857
0.0001,-1e-12,0.0,1.0413991615120975e-12,-9.406995106948174e-09,3.7477165672450115e-13,-9.417641845318586e-10,-1802.1871856779474,-1792.8967855250146,-1795.319283331396
0.0001,-1e-12,1.0000000000000002e-08,-2.05287678351689e-12,8.93906438246414e-09,-2.3914997568201614e-12,1.6215548404447346e-08,-1802.1871856779474,-1792.8967855250146,-1795.319283331396
0.0001,-1e-12,1.0000000000000002e-07,-1.4786063281598301e-12,-2.9724794758224495e-07,-1.6845982278707514e-12,6.403480507125843e-08,-1774.661586933539,-1767.2854718229107,-1769.2904979340406
0.0001,-1e-12,9.999999999999997e-07,-3.2413148146385923e-12,-4.103439394235126e-07,-2.8811458644363387e-12,1.628667336150186e-06,-1739.3149471997642,-1737.2821248081764,-1735.089532763964
0.0001,-1e-12,9.999999999999997e-06,-1.4879541850296606e-12,-6.414699768075513e-05,-2.421226454275805e-12,-3.828064290089894e-05,-1797.3603756144112,-1789.115378185186,-1791.104357018915
0.0001,-1e-12,9.999999999999999e-05,-3.06719969076019e-12,-0.00020958589974050859,-3.38348337702796e-12,-0.00019469191736101125,-1801.052513086148,-1779.3259027302079,-1782.1781163269259
0.0001,-1e-11,0.0,-1.8273380910965263e-11,-2.0782006595685835e-08,-1.8120925544938957e-11,-2.48882599450558e-08,-1719.0754342203654,-1959.279795303562,-1713.861451128892
0.0001,-1e-11,1.0000000000000002e-08,-1.938052543533456e-11,-7.249773291414425e-09,-1.9433183079298432e-11,-3.937284120092102e-09,-1719.0754342203654,-1959.279795303562,-1713.861451128892
0.0001,-1e-11,1.0000000000000002e-07,-1.895378028970068e-11,-2.066627275786141e-07,-1.9053732533943028e-11,-6.796062724115624e-08,-1792.0007455543118,-2058.76736321504,-1786.8719024014476
