eccentricity,true_PdE,true_WdE,fit_decay_PdE,fit_prec_wdE,fit_dp_PdE,fit_dp_wdE,logZ_decay,logZ_prec,logZ_dp
0.0,-0.0,0.0,-8.124971299656853e-12,2.47327908965129e-08,-8.572647525039748e-12,-1.6564155658900943e-08,-585.55498358424,-579.9308427605066,-585.731056710053
0.0,-0.0,9.999999999999999e-09,-1.2847108030665521e-12,-1.1619869626391382e-08,-3.55344388476821e-12,-1.3184055626312846e-09,-589.6991233534102,-583.8882400678709,-589.132369679263
0.0,-0.0,1.0000000000000002e-07,9.800432165826188e-12,-2.0486546801332026e-07,1.3628469526129415e-11,-3.512846965787252e-08,-634.808282957162,-628.6975032914203,-634.24126821907
0.0,-0.0,1e-06,-8.574145010325965e-12,-4.0997483517288105e-06,-7.266334475334668e-12,-1.285444036754889e-06,-678.7577775776201,-672.8896459039917,-678.0632508473004
0.0,-0.0,1e-05,3.36647617719716e-11,-7.001402358621277e-05,3.4255756600927896e-11,-8.066988226251498e-05,-554.836679874331,-551.3058870053333,-553.5425195939872
0.0,-0.0,0.0001,6.312350672077296e-12,-0.0002548299714848375,9.861621744269124e-12,-0.00027236919840537054,-588.2944982770879,-581.8564577283813,-587.2467851933243
0.0,-1e-12,0.0,6.166976887950472e-13,7.227167869686578e-09,-3.541380653185772e-13,3.3183869256791236e-09,-554.1070696035371,-547.5455828597154,-554.188112504355
0.0,-1e-12,9.999999999999999e-09,-8.481749137890544e-12,7.918598266166873e-09,-1.359410100699377e-11,-1.3843204090653912e-08,-585.0327025325482,-579.5115399743967,-584.1191221187552
0.0,-1e-12,1.0000000000000002e-07,-2.7346051246368756e-11,-1.8165310825209912e-07,-2.941585648510511e-11,-2.077073419466368e-07,-632.5011339478194,-628.301018559362,-632.4597625519079
0.0,-1e-12,1e-06,-9.740436454224859e-12,1.3795281422386082e-06,-8.469602810013552e-12,-5.313549828648859e-07,-564.3872372831331,-558.4788037283128,-564.3840196431319
0.0,-1e-12,1e-05,5.770302036750035e-12,-8.396549378575455e-05,9.517626007000012e-12,-9.214570681364198e-05,-634.4211920318949,-626.1651980152325,-631.2508618391428
0.0,-1e-12,0.0001,-6.810100528199831e-12,-0.00026030495222150764,-1.1003579468002808e-11,-0.00028013235141612975,-608.457185165148,-600.1571274442297,-606.015960093128
